26.95	-0.184
26.96	-0.184
26.97	-0.184
26.99	-0.183
27.00	-0.183
27.01	-0.183
27.03	
27.14	-0.174
27.15	-0.171
27.16	-0.170
27.18	-0.166
27.19	-0.163
27.20	-0.160
27.21	-0.158
27.22	
27.33	-0.120
27.34	-0.116
27.36	
27.47	-0.072
27.48	-0.068
27.49	-0.063
27.50	-0.059
27.51	
27.63	-0.022
27.64	-0.019
27.65	-0.015
27.66	
27.77	0.011
27.78	0.013
27.79	0.015
27.80	0.017
27.82	0.018
27.83	0.020
27.84	0.022
27.85	0.024
27.86	0.025
27.87	
27.98	0.036
27.99	0.036
28.01	0.037
28.02	
28.13	
28.24	0.036
28.25	0.036
28.26	0.035
28.28	
28.39	0.028
28.40	0.028
28.42	0.026
28.43	0.026
28.44	0.025
28.45	0.024
28.46	0.024
28.47	
28.58	0.016
28.59	
28.71	0.008
28.72	0.008
28.73	0.007
28.74	0.006
28.75	
28.86	0.001
28.88	0.001
28.89	0.000
28.90	0.000
28.91	0.000
28.92	-0.001
28.93	
29.04	-0.004
29.05	-0.004
29.06	
29.17	-0.006
29.18	-0.006
29.19	-0.006
29.21	-0.006
29.22	
29.33	
29.44	-0.004
29.46	-0.004
29.47	-0.004
29.48	-0.004
29.49	-0.004
29.50	-0.004
29.51	-0.004
29.53	-0.004
29.54	-0.004
29.55	-0.004
29.56	-0.003
29.57	-0.003
29.58	-0.003
29.59	-0.003
29.61	-0.003
29.62	-0.003
29.64	
29.75	
29.86	-0.002
29.87	-0.001
29.89	
30.00	0.000
30.01	0.000
30.03	0.000
30.05	
30.16	0.000
30.18	
30.29	0.001
30.30	0.001
30.31	0.001
30.32	0.001
30.34	0.001
30.35	0.001
