0.00	-0.139
0.02	-0.139
0.04	-0.140
0.06	-0.140
0.08	
0.19	
0.29	-0.143
0.30	
0.41	-0.144
0.41	-0.144
0.42	
0.53	-0.144
0.53	-0.144
0.54	
0.65	-0.144
0.65	-0.144
0.66	-0.144
0.67	
0.78	
0.88	-0.145
0.89	-0.145
0.90	
1.01	-0.137
1.01	-0.136
1.02	-0.135
1.03	-0.133
1.04	
1.14	-0.103
1.15	-0.100
1.16	-0.098
1.16	
1.27	
1.38	-0.002
1.38	0.001
1.39	0.005
1.40	
1.50	
1.61	0.100
1.62	0.103
1.63	
1.73	0.136
1.74	
1.85	0.153
1.86	0.153
1.86	0.154
1.87	0.154
1.88	0.155
1.89	0.155
1.89	
2.00	0.149
2.01	
2.11	0.127
2.12	0.124
2.13	0.123
2.14	0.120
2.14	
2.25	0.081
2.26	0.078
2.27	0.075
2.27	0.072
2.28	0.069
2.29	0.067
2.29	
2.40	0.017
2.41	
2.51	
2.62	
2.73	-0.115
2.73	-0.116
2.74	-0.119
2.75	-0.120
2.75	-0.121
2.76	-0.123
2.77	-0.124
2.78	-0.127
2.78	
2.89	-0.139
2.90	-0.139
2.90	
3.01	
3.12	-0.105
3.12	-0.103
3.13	-0.101
3.13	-0.099
3.14	
3.25	-0.056
3.25	-0.053
3.26	-0.051
3.27	-0.048
3.27	-0.045
3.28	-0.042
3.29	
3.39	0.009
3.40	0.012
3.41	0.016
3.42	
3.52	0.064
3.53	
3.64	0.105
3.64	
3.75	0.134
3.75	
3.86	0.148
3.87	0.148
3.87	0.148
3.88	0.149
3.89	0.149
3.90	0.149
3.90	0.149
3.91	
4.02	0.140
4.02	0.139
4.03	
4.14	0.114
4.14	0.112
4.15	
4.26	0.073
4.26	0.071
4.27	0.068
4.28	0.065
4.28	
4.39	0.017
4.40	0.015
4.40	0.012
4.41	0.009
4.42	0.007
4.42	0.004
4.43	0.000
4.43	-0.003
4.44	
4.55	-0.051
4.55	-0.055
4.56	
4.67	-0.096
4.67	-0.098
4.68	-0.100
4.69	-0.103
4.70	-0.104
4.70	-0.106
4.71	-0.108
4.72	-0.109
4.72	-0.112
4.73	-0.113
4.74	-0.115
4.74	
4.85	-0.132
4.86	-0.133
4.86	-0.133
4.87	
4.98	-0.129
4.98	-0.128
4.99	
5.10	-0.105
5.10	-0.104
5.11	-0.103
5.12	-0.100
5.12	-0.099
5.13	
5.23	
5.34	-0.013
5.35	-0.011
5.35	
5.46	0.039
5.47	0.042
5.47	0.045
5.48	
5.59	0.088
5.59	0.089
5.60	
5.71	0.122
5.71	0.124
5.72	0.125
5.73	0.126
5.73	
5.84	0.142
5.84	0.143
5.85	0.143
5.86	0.143
5.86	
5.97	0.140
5.98	0.140
5.99	
6.09	0.120
6.10	0.119
6.10	0.117
6.11	
6.22	0.083
6.23	0.080
6.23	0.077
6.24	0.076
6.25	0.073
6.25	0.071
6.26	0.068
6.26	0.066
6.27	
6.38	0.020
6.38	0.017
6.39	
6.50	-0.031
6.50	-0.033
6.51	-0.036
6.52	-0.039
6.52	
6.63	
6.73	-0.112
6.74	-0.114
6.75	-0.116
6.76	-0.117
6.76	-0.119
6.77	-0.120
6.78	
6.88	-0.131
6.89	-0.131
6.90	-0.131
6.90	-0.131
6.91	-0.131
6.92	
7.02	-0.119
7.03	-0.117
7.04	-0.115
7.05	-0.113
7.05	-0.112
7.06	
7.17	-0.080
7.17	
7.28	-0.037
7.29	
7.39	0.011
7.40	0.014
7.41	
7.51	0.060
7.52	
7.63	
7.73	0.124
7.74	0.125
7.74	0.126
7.75	
7.86	0.138
7.86	
7.97	0.135
7.98	0.134
7.98	
8.09	
8.20	0.085
8.20	
8.31	0.044
8.32	
8.42	-0.003
8.43	-0.005
8.44	-0.008
8.44	
8.55	
8.66	
8.76	-0.116
8.77	-0.117
8.78	-0.118
8.78	
8.89	-0.127
8.90	-0.127
8.90	-0.127
8.91	-0.127
8.92	-0.126
8.93	-0.125
8.93	-0.125
8.94	-0.125
8.95	-0.124
8.95	-0.124
8.96	-0.123
8.97	-0.123
8.97	-0.121
8.98	-0.121
8.99	-0.120
8.99	-0.119
9.00	
9.11	-0.095
9.11	-0.092
9.12	-0.091
9.13	-0.088
9.13	
9.24	
9.35	-0.007
9.35	-0.004
9.36	
9.47	0.042
9.47	0.045
9.48	0.047
9.49	0.049
9.49	
9.60	0.088
9.61	0.091
9.61	0.093
9.62	0.095
9.63	0.097
9.64	
9.74	0.123
9.75	0.124
9.75	0.125
9.76	0.125
9.77	0.127
9.78	
9.88	0.135
9.89	
10.00	
10.10	
10.21	0.077
10.21	0.076
10.22	0.073
10.23	0.071
10.23	0.068
10.24	0.066
10.25	0.064
10.26	0.060
10.26	
10.37	0.017
10.38	0.014
10.38	0.011
10.39	0.008
10.40	0.005
10.41	0.002
10.41	-0.001
10.42	-0.004
10.43	
10.53	-0.048
10.54	-0.051
10.55	-0.053
10.56	-0.056
10.56	-0.059
10.57	
10.68	-0.095
10.68	-0.096
10.69	-0.098
10.70	-0.100
10.70	
10.81	-0.120
10.82	-0.120
10.82	-0.120
10.83	-0.121
10.84	
10.94	-0.121
10.95	-0.120
10.96	-0.120
10.96	-0.119
10.97	-0.119
10.97	
11.08	-0.098
11.09	-0.096
11.09	-0.095
11.10	-0.092
11.11	-0.091
11.12	-0.088
11.12	-0.087
11.13	-0.084
11.14	
11.24	-0.045
11.25	-0.043
11.26	-0.040
11.26	
11.37	0.004
11.38	0.007
11.38	0.009
11.39	0.012
11.40	
11.50	
11.61	0.089
11.62	0.091
11.62	0.093
11.63	
11.74	0.119
11.74	0.120
11.75	0.120
11.76	
11.87	0.130
11.87	
11.98	0.125
11.99	0.124
11.99	
12.10	
12.21	0.073
12.22	0.071
12.22	0.068
12.23	0.065
12.24	0.064
12.24	0.061
12.25	0.059
12.26	0.056
12.27	0.053
12.27	0.051
12.28	0.048
12.29	0.045
12.30	0.043
12.30	0.040
12.31	
12.42	-0.004
12.42	
12.53	-0.048
12.54	-0.051
12.55	-0.053
12.55	-0.056
12.56	-0.058
12.57	-0.060
12.57	
12.68	-0.095
12.69	-0.096
12.69	-0.098
12.70	-0.100
12.71	
12.81	-0.117
12.82	
12.93	
13.04	-0.104
13.04	-0.103
13.05	-0.100
13.06	-0.099
13.06	-0.097
13.07	-0.096
13.08	-0.095
13.09	-0.092
13.09	-0.091
13.10	-0.088
13.11	
13.21	-0.052
13.22	-0.050
13.23	-0.048
13.23	-0.045
13.24	-0.043
13.25	-0.040
13.25	-0.038
13.26	
13.37	0.005
13.37	
13.48	
13.59	0.083
13.60	
13.70	
13.81	
13.92	0.125
13.92	
14.03	0.112
14.04	
14.14	0.087
14.15	0.085
14.16	0.083
14.16	
14.27	0.047
14.28	0.044
14.29	0.041
14.29	0.039
14.30	0.037
14.31	
14.41	-0.007
14.42	
14.53	-0.048
14.53	-0.051
14.54	-0.053
14.55	-0.056
14.56	-0.058
14.56	-0.060
14.57	-0.063
14.58	-0.065
14.58	-0.067
14.59	-0.069
14.60	-0.072
14.61	-0.075
14.61	-0.076
14.62	-0.079
14.63	-0.080
14.63	-0.083
14.64	-0.084
14.65	-0.087
14.66	-0.088
14.66	-0.089
14.67	-0.092
14.67	-0.093
14.68	-0.095
14.69	-0.096
14.70	-0.097
14.70	-0.099
14.71	
14.81	-0.115
14.82	-0.116
14.83	
14.94	-0.115
14.94	-0.113
14.95	-0.113
14.96	
15.06	-0.094
15.07	-0.092
15.08	
15.18	-0.059
15.19	-0.057
15.20	
15.30	
15.41	0.023
15.41	0.025
15.42	
15.53	0.064
15.53	0.067
15.54	0.068
15.55	0.070
15.55	0.072
15.56	
15.67	0.101
15.67	0.102
15.68	0.104
15.68	0.105
15.69	0.106
15.70	0.108
15.71	0.109
15.71	
15.82	0.121
15.82	
15.93	0.120
15.94	0.119
15.94	0.119
15.95	0.118
15.96	0.117
15.96	0.117
15.97	0.116
15.98	0.115
15.98	0.115
15.99	0.113
15.99	0.113
16.00	
16.11	
16.21	0.061
16.22	0.059
16.23	0.057
16.23	0.056
16.24	0.053
16.25	0.051
16.25	0.049
16.26	0.047
16.26	0.044
16.27	0.043
16.28	0.040
16.28	0.037
16.29	0.036
16.30	0.033
16.30	
16.41	-0.008
16.42	
16.52	-0.049
