7.96	0.000
7.97	0.000
7.99	
8.10	-0.001
8.11	-0.001
8.12	-0.001
8.13	
8.24	-0.007
8.25	-0.008
8.26	-0.009
8.27	-0.010
8.28	-0.011
8.29	-0.012
8.31	-0.013
8.32	-0.015
8.33	
8.55	-0.053
8.56	-0.056
8.57	
8.68	-0.080
8.69	-0.083
8.71	-0.085
8.72	-0.087
8.73	-0.089
8.74	
8.85	-0.112
8.86	-0.115
8.87	-0.116
8.88	-0.119
8.90	-0.120
8.91	-0.123
8.92	-0.124
8.93	-0.125
8.94	-0.128
8.95	
9.06	-0.144
9.07	
9.18	-0.155
9.20	-0.156
9.21	
9.32	-0.164
9.33	-0.164
9.34	-0.165
9.35	-0.165
9.36	-0.167
9.48	-0.171
9.49	-0.171
9.51	
9.62	
9.73	
9.84	-0.173
9.85	
9.96	
10.07	-0.172
10.08	
10.19	-0.172
10.21	-0.172
10.22	-0.172
10.24	
10.35	-0.160
10.47	-0.133
10.48	-0.131
10.49	-0.129
10.50	-0.127
10.52	-0.123
10.53	-0.120
10.54	-0.117
10.56	-0.114
10.57	-0.111
10.58	-0.109
10.59	-0.107
10.60	-0.104
10.61	-0.101
10.62	
10.73	-0.075
10.74	
10.85	
10.96	-0.036
10.97	-0.035
11.00	-0.032
11.01	-0.030
11.03	-0.029
11.04	-0.027
11.05	-0.026
11.07	-0.024
11.08	-0.024
11.09	
11.20	-0.015
11.21	-0.014
11.22	-0.013
11.24	-0.012
11.25	-0.012
11.26	-0.012
11.27	
11.38	-0.007
11.51	-0.004
11.52	-0.004
11.53	-0.004
11.54	-0.003
11.56	-0.003
11.57	
11.68	-0.002
11.69	-0.002
11.71	
11.82	-0.001
11.83	-0.001
11.84	-0.001
11.86	-0.001
11.87	-0.001
11.88	
11.99	-0.001
12.01	-0.001
12.02	-0.001
12.03	
12.14	-0.001
12.16	-0.001
12.17	
12.29	-0.001
12.30	
12.41	
12.63	-0.001
12.64	-0.001
12.65	-0.001
12.66	-0.001
12.67	-0.001
12.69	-0.001
12.70	
12.81	-0.001
12.82	-0.001
12.84	
12.95	-0.001
12.96	-0.001
12.97	-0.001
12.98	-0.001
12.99	-0.001
13.00	-0.001
13.01	
13.12	
13.23	-0.001
13.24	
13.36	
13.58	-0.001
13.59	-0.001
13.60	-0.001
13.61	
13.72	-0.001
13.73	-0.001
13.74	-0.001
13.76	-0.001
13.77	-0.001
13.78	
13.89	-0.001
13.90	
14.01	
14.12	
14.24	-0.001
14.25	-0.001
14.26	-0.001
14.27	
14.39	
14.85	0.000
14.86	0.000
14.87	
14.98	0.000
15.00	0.000
15.01	0.000
15.02	0.000
15.03	0.000
15.04	0.000
