42.07	-0.159
42.09	-0.160
42.10	-0.160
42.12	
42.23	-0.156
42.24	
42.35	
42.46	-0.142
42.47	-0.139
42.49	-0.136
42.51	-0.132
42.52	-0.129
42.53	-0.126
42.54	-0.123
42.55	-0.119
42.57	
42.68	
42.79	-0.028
42.80	-0.024
42.81	-0.019
42.82	-0.011
42.83	-0.007
42.84	-0.002
42.86	0.003
42.87	0.008
42.88	0.012
42.89	0.018
42.90	0.022
42.91	0.026
42.92	
43.03	
43.14	
43.26	0.125
43.27	0.126
43.28	0.126
43.29	
43.40	0.128
43.41	0.127
43.42	0.126
43.43	
43.55	0.108
43.56	0.105
43.57	0.102
43.58	0.100
43.59	
43.70	
43.82	0.027
43.83	0.024
43.84	0.018
43.85	
43.96	-0.024
43.97	
44.08	
44.19	-0.088
44.20	-0.090
44.21	
44.32	-0.103
44.33	
44.44	-0.099
44.45	-0.098
44.47	
44.58	-0.077
44.59	
44.70	-0.046
44.72	-0.041
44.74	-0.036
44.76	-0.031
44.77	-0.028
44.78	-0.024
44.79	-0.022
44.80	-0.018
44.81	-0.014
44.82	-0.011
44.83	-0.008
44.85	-0.004
44.86	-0.002
44.87	0.002
44.88	0.005
44.89	
45.00	0.038
45.01	0.041
45.02	0.044
45.03	0.046
45.04	0.049
45.06	0.053
45.07	
45.18	0.074
45.19	0.076
45.21	
45.32	
45.43	0.082
45.44	0.082
45.45	0.081
45.46	0.080
45.47	0.079
45.48	0.078
45.49	
45.61	0.061
45.62	0.058
45.63	0.057
45.64	0.054
45.65	0.052
45.66	0.050
45.67	0.048
45.68	0.045
45.70	0.042
45.71	
45.82	
45.93	-0.012
45.94	-0.015
45.95	
46.06	-0.042
46.07	
46.18	-0.061
46.19	-0.063
46.21	-0.064
46.22	-0.066
46.24	-0.067
46.25	-0.068
46.26	-0.068
46.27	
46.38	-0.071
46.39	-0.071
46.41	-0.071
46.42	-0.070
46.44	-0.069
46.45	-0.068
46.46	-0.067
46.47	
46.58	-0.054
46.60	-0.051
46.61	-0.050
46.62	-0.048
46.63	-0.046
46.64	-0.044
46.65	-0.043
46.66	-0.040
46.67	
46.78	-0.018
46.79	-0.015
46.81	
46.92	0.009
46.93	
47.04	0.030
47.05	0.032
47.06	0.033
47.07	0.036
47.09	0.037
47.10	0.038
47.11	0.040
47.12	0.041
47.13	0.042
47.14	0.044
47.15	
47.26	0.053
47.27	0.054
47.29	0.054
47.30	0.054
47.31	0.054
47.32	0.055
47.33	
47.44	0.053
47.45	0.052
47.47	
47.58	
47.69	
47.80	
47.91	-0.010
47.92	-0.011
47.94	-0.014
47.95	-0.015
47.96	
48.07	-0.031
48.08	-0.033
48.09	-0.034
48.11	-0.035
48.12	-0.036
48.13	-0.038
48.14	-0.039
48.15	
48.26	
48.37	
48.48	-0.044
48.49	-0.044
48.50	-0.043
48.52	
48.63	-0.031
48.64	-0.031
48.65	
48.76	-0.015
48.77	-0.014
48.79	
48.90	
49.01	0.016
49.02	
49.13	0.026
49.14	0.028
49.16	0.028
49.17	0.029
49.18	0.030
49.19	0.030
49.20	0.031
49.21	0.032
49.22	0.032
49.23	0.032
49.24	0.033
49.26	0.033
49.27	0.033
49.28	
49.39	0.034
49.40	0.034
49.41	
49.52	
49.63	
49.74	
49.85	-0.002
49.86	-0.003
49.87	-0.004
49.89	-0.006
49.90	-0.007
49.92	-0.008
49.93	-0.010
49.94	-0.011
49.96	-0.012
49.97	-0.013
49.98	-0.014
49.99	-0.015
50.00	
50.11	
50.22	-0.031
50.23	-0.031
50.24	-0.031
50.26	-0.032
50.27	
50.39	
50.50	-0.030
50.51	
50.62	
50.73	
50.84	-0.004
50.85	-0.004
50.86	-0.003
50.87	-0.002
50.89	-0.001
50.90	
51.01	
51.12	
51.23	0.018
51.24	0.019
51.25	0.019
51.26	0.020
51.27	0.020
51.28	0.020
51.29	0.020
51.30	
51.41	0.020
51.42	0.019
51.44	
51.55	0.014
51.56	0.014
51.58	0.014
51.59	0.013
51.60	0.013
51.61	0.012
51.62	0.012
51.64	0.010
51.65	0.010
51.66	0.009
51.67	
51.78	
51.89	-0.006
51.90	-0.006
51.91	-0.007
51.92	-0.007
51.93	-0.008
51.94	-0.008
51.96	-0.010
51.97	-0.010
51.99	
52.10	
52.21	-0.020
52.22	-0.020
52.23	-0.020
52.24	-0.020
52.25	-0.021
52.26	
52.37	-0.022
52.39	-0.022
52.40	-0.022
52.41	-0.021
52.42	-0.021
52.43	
52.54	-0.018
52.56	-0.018
52.57	-0.016
52.58	-0.016
52.60	-0.016
52.61	-0.015
52.62	
52.73	-0.010
52.74	-0.010
52.76	-0.008
52.77	-0.008
52.78	-0.007
52.79	-0.007
52.80	
52.91	
53.02	0.004
